"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",2,0.642,2,3,1.55,1.25,0.685160159703148,"10/-5"
"0.12",2,0.166,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"10/-5"
"0.12",2,0.212,1,2.1875,1.1125,1,0.764217101207358,"10/-5"
"0.12",2,0.315,2,4.5,2.65,3,1.24833222073827,"10/-5"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"10/-5"
"0.12",2,0.578,2,2.25,1.525,1.5,0.558395518925031,"10/-10"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"10/-10"
"0.12",2,0.16,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"10/-10"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"10/-10"
"0.12",2,0.263,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"10/-10"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"10/-10"
"0.12",2,0.109,2,3.25,1.825,2,0.799739540934005,"10/-10"
"0.12",2,0.38,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"10/-10"
"0.12",2,0.752,6,14.5,7.6,7.75,5.34659808767323,"10/-10"
"0.12",2,0.586,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"10/-10"
"0.12",2,0.581,2,3,1.55,1.25,0.685160159703148,"10/-10"
"0.12",2,0.133,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"10/-10"
"0.12",2,0.121,1,2.1875,1.1125,1,0.764217101207358,"10/-10"
"0.12",2,0.215,2,4.5,2.65,3,1.24833222073827,"10/-10"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"10/-10"
"0.12",2,0.973,2,2.25,1.525,1.5,0.558395518925031,"5/-1"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"5/-1"
"0.12",2,0.536,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"5/-1"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"5/-1"
"0.12",2,0.298,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"5/-1"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"5/-1"
"0.12",2,0.894,2,3.25,1.825,2,0.799739540934005,"5/-1"
"0.12",2,0.971,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"5/-1"
"0.12",2,0.956,6,14.5,7.6,7.75,5.34659808767323,"5/-1"
"0.12",2,0.984,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"5/-1"
"0.12",2,0.972,2,3,1.55,1.25,0.685160159703148,"5/-1"
"0.12",2,0.417,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"5/-1"
"0.12",2,0.866,1,2.1875,1.1125,1,0.764217101207358,"5/-1"
"0.12",2,0.73,2,4.5,2.65,3,1.24833222073827,"5/-1"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"5/-1"
"0.12",2,0.777,2,2.25,1.525,1.5,0.558395518925031,"5/-5"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"5/-5"
"0.12",2,0.573,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"5/-5"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"5/-5"
"0.12",2,0.68,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"5/-5"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"5/-5"
"0.12",2,0.375,2,3.25,1.825,2,0.799739540934005,"5/-5"
"0.12",2,0.716,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"5/-5"
"0.12",2,0.938,6,14.5,7.6,7.75,5.34659808767323,"5/-5"
"0.12",2,0.849,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"5/-5"
"0.12",2,0.738,2,3,1.55,1.25,0.685160159703148,"5/-5"
"0.12",2,0.513,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"5/-5"
"0.12",2,0.349,1,2.1875,1.1125,1,0.764217101207358,"5/-5"
"0.12",2,0.65,2,4.5,2.65,3,1.24833222073827,"5/-5"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"5/-5"
"0.12",2,0.664,2,2.25,1.525,1.5,0.558395518925031,"5/-10"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"5/-10"
"0.12",2,0.236,3,3.81063122923588,2.4968992248062,2.80177187153932,1.12409132323031,"5/-10"
"0.12",2,1,2,3,1.41666666666667,1,0.663185354795184,"5/-10"
"0.12",2,0.255,3,5.21052631578948,3.09298245614035,3.3421052631579,1.67317494019399,"5/-10"
"0.12",2,1,2,2.40000000000001,1.44,1,0.579655069847578,"5/-10"
"0.12",2,0.143,2,3.25,1.825,2,0.799739540934005,"5/-10"
"0.12",2,0.513,4,5.77777777777777,2.84166666666666,2.45833333333333,1.5590816517129,"5/-10"
"0.12",2,0.748,6,14.5,7.6,7.75,5.34659808767323,"5/-10"
"0.12",2,0.657,2,2.93333333333333,1.72333333333333,1.5,0.799699017455016,"5/-10"
"0.12",2,0.659,2,3,1.55,1.25,0.685160159703148,"5/-10"
"0.12",2,0.158,3,3.84758364312268,2.36617100371747,2.51486988847584,1.10390249548611,"5/-10"
"0.12",2,0.147,1,2.1875,1.1125,1,0.764217101207358,"5/-10"
"0.12",2,0.328,2,4.5,2.65,3,1.24833222073827,"5/-10"
"0.12",2,1,4,3.16666666666666,1.5125,1,0.77081456433606,"5/-10"
"0.12",2,1,2,2.25,1.525,1.5,0.558395518925031,"1/-1"
"0.12",2,1,2,3.00000000000001,1.4,1.00000000000001,0.699205898780103,"1/-1"
